texmf-dist/tex/latex/nicetext/fifinddo.sty:711:13:711:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:711:25:711:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:711:28:711:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:711:29:711:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:717:13:717:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:717:30:717:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:717:31:717:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:725:13:725:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:725:26:725:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:725:29:725:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:725:30:725:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:752:13:752:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:752:38:752:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:752:41:752:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:776:13:776:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:776:24:776:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:780:13:780:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:780:31:780:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:780:65:780:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:789:13:789:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:789:27:789:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:789:30:789:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:789:31:789:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:815:10:815:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:815:11:815:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/nicetext/fifinddo.sty:815:29:815:29: s204 missing stylistic whitespaces
